Noise,Image,Type,Level,NoisyPSNR,NoisySSIM,VFCRPSNR,VFCRSSIM,PaperPSNR,PaperSSIM,Runtime,FinalError,WeightSum,MinWeight
1,house,gaussian,0.05,13.6493670856696,0.169435335477155,25.8295385643164,0.688750312532956,26.84,0.73,1.7962618,1.51003867614141e-10,1.00000000004964,0.0443014323046782
2,house,gaussian,0.08,12.029159649366,0.126008311773169,23.9230335446343,0.610298081538221,23.9,0.61,1.7552934,3.28411141505229e-10,0.999999999904597,0.043631123062217
3,house,gaussian,0.1,11.322976367096,0.108114763033092,22.9745116629273,0.569034417170284,23,0.57,1.5570368,4.43468397915367e-10,1.00000000009029,0.0451601814555786
4,horse,salt,0.05,18.3293946514105,0.461244171082958,30.8517727469028,0.848196591995236,30.68,0.84,2.0456701,1.83037899813277e-10,0.999999999914536,0.0396872482541431
5,horse,salt,0.1,15.4774804774852,0.298325773789674,27.3238443603938,0.749295819393349,27.25,0.75,1.9757791,3.33163862147701e-10,0.999999999965631,0.0394131096623847
6,horse,salt,0.2,12.3867925066216,0.164561549234059,23.5358904282256,0.61615654023208,23.51,0.61,1.5447936,3.42658149042119e-10,1.0000000001441,0.041845585781959
