Images,VFCRPSNR,VFCRSSIM,PaperPSNR,PaperSSIM,Runtime,FinalError,WeightSum,MinWeight
20,26.0960500754169,0.613972303304912,20.99,0.61,1.7837272,1.88627310222678e-10,1.00000000004193,0.0429753799879955
50,29.3848435346176,0.773546545024852,30.03,0.75,22.1194691,4.28814017081879e-10,1.00000000008556,0.0173901784835674
