Slice,Type,Level,NoisyPSNR,NoisySSIM,VFCRPSNR,VFCRSSIM,PaperPSNR,PaperSSIM,Runtime,FinalError,WeightSum,MinWeight
40,gaussian,0.06,13.7657828257901,0.175214957595202,23.7646996882031,0.622724476168756,23.74,0.61,13.0857884,1.5284520841355e-08,1.0000000000212,0.0157065987194302
100,rician,0.0385,13.0693793086014,0.163423169951037,16.2424224117788,0.549144725362356,16.24,0.52,11.3275839,1.13739232423307e-10,0.999999999985507,0.0154924714346602
